Region,Range,Tree_Height
'Atlantic',24196,27
'Atlantic',7900,21
'Atlantic',23038,25
'Atlantic',17042,3
'Atlantic',7646,24
'Atlantic',19938,17
'Atlantic',7985,15
'Atlantic',8897,0.3
'Atlantic',8982,24
'Atlantic',233,11
'Atlantic',1598,15
'Atlantic',1745,23
'Atlantic',17042,24
'Atlantic',4082,3
'Atlantic',3775,13
'Atlantic',13688,30
'Atlantic',3978,9
'Atlantic',5328,27
'Atlantic',18480,9
'Atlantic',10161,24
'Atlantic',8643,23
'Atlantic',9920,27
'Atlantic',28389,24
'Atlantic',21067,23
'Atlantic',14870,18
'Atlantic',2540,9
'Atlantic',829,9
'Atlantic',8992,4
'California',559,18
'California',433,6
'California',259,17
'California',1061,20
'California',870,30
'California',803,23
'California',826,26
'California',699,21
'California',690,15
'California',223,1
'California',13,18
