Judge,Official,Round
E._Williams,Yes,1
E._Williams,Yes,2
E._Williams,Yes,3
E._Williams,Yes,4
E._Williams,Yes,5
E._Williams,Yes,6
E._Williams,Yes,7
E._Williams,Yes,8
E._Williams,Yes,9
E._Williams,Yes,10
E._Williams,Yes,11
E._Williams,Yes,12
L._OConnell,Yes,1
L._OConnell,Yes,2
L._OConnell,Yes,3
L._OConnell,Yes,4
L._OConnell,Yes,5
L._OConnell,Yes,6
L._OConnell,Yes,7
L._OConnell,Yes,8
L._OConnell,Yes,9
L._OConnell,Yes,10
L._OConnell,Yes,11
L._OConnell,Yes,12
S._Christodoulu,Yes,1
S._Christodoulu,Yes,2
S._Christodoulu,Yes,3
S._Christodoulu,Yes,4
S._Christodoulu,Yes,5
S._Christodoulu,Yes,6
S._Christodoulu,Yes,7
S._Christodoulu,Yes,8
S._Christodoulu,Yes,9
S._Christodoulu,Yes,10
S._Christodoulu,Yes,11
S._Christodoulu,Yes,12
HBO-Lederman,No,1
HBO-Lederman,No,2
HBO-Lederman,No,3
HBO-Lederman,No,4
HBO-Lederman,No,5
HBO-Lederman,No,6
HBO-Lederman,No,7
HBO-Lederman,No,8
HBO-Lederman,No,9
HBO-Lederman,No,10
HBO-Lederman,No,11
HBO-Lederman,No,12
Sportsticker,No,1
Sportsticker,No,2
Sportsticker,No,3
Sportsticker,No,4
Sportsticker,No,5
Sportsticker,No,6
Sportsticker,No,7
Sportsticker,No,8
Sportsticker,No,9
Sportsticker,No,10
Sportsticker,No,11
Sportsticker,No,12
Boxing_Times,No,1
Boxing_Times,No,2
Boxing_Times,No,3
Boxing_Times,No,4
Boxing_Times,No,5
Boxing_Times,No,6
Boxing_Times,No,7
Boxing_Times,No,8
Boxing_Times,No,9
Boxing_Times,No,10
Boxing_Times,No,11
Boxing_Times,No,12
Sportsline,No,1
Sportsline,No,2
Sportsline,No,3
Sportsline,No,4
Sportsline,No,5
Sportsline,No,6
Sportsline,No,7
Sportsline,No,8
Sportsline,No,9
Sportsline,No,10
Sportsline,No,11
Sportsline,No,12
Associated_Press,No,1
Associated_Press,No,2
Associated_Press,No,3
Associated_Press,No,4
Associated_Press,No,5
Associated_Press,No,6
Associated_Press,No,7
Associated_Press,No,8
Associated_Press,No,9
Associated_Press,No,10
Associated_Press,No,11
Associated_Press,No,12
ESPN,No,1
ESPN,No,2
ESPN,No,3
ESPN,No,4
ESPN,No,5
ESPN,No,6
ESPN,No,7
ESPN,No,8
ESPN,No,9
ESPN,No,10
ESPN,No,11
ESPN,No,12
Boxing_Monthly-Leach,No,1
Boxing_Monthly-Leach,No,2
Boxing_Monthly-Leach,No,3
Boxing_Monthly-Leach,No,4
Boxing_Monthly-Leach,No,5
Boxing_Monthly-Leach,No,6
Boxing_Monthly-Leach,No,7
Boxing_Monthly-Leach,No,8
Boxing_Monthly-Leach,No,9
Boxing_Monthly-Leach,No,10
Boxing_Monthly-Leach,No,11
Boxing_Monthly-Leach,No,12
