price_index_for_casoline,disposable_income,price_index_for_used_cars
0.925,6036,0.836
0.914,6113,0.869
0.919,6271,0.948
0.918,6378,0.96
0.914,6727,1.001
0.949,7027,0.994
0.97,7280,0.97
1,7513,1
1.014,7728,1.028
1.047,7891,1.031
1.056,8134,1.043
1.063,8322,1.102
1.076,8562,1.105
1.181,9042,1.176
1.599,8867,1.226
1.708,8944,1.464
1.779,9175,1.679
1.882,9381,1.828
1.963,9735,1.865
2.656,9829,2.01
3.691,9722,2.081
4.109,9769,2.569
3.894,9725,2.964
3.764,9930,3.297
3.707,421,3.757
3.738,563,3.797
2.921,780,3.632
