f1,f2,f3
-1.00692,-1.00692,0.0479484
-1.00692,1.10281,0.0479484
-1.00692,2.15768,-1.00692
2.15768,0.0479484,0.0479484
-1.00692,1.10281,2.15768
-1.00692,1.10281,0.0479484
-1.00692,1.10281,0.0479484
2.15768,0.0479484,2.15768
0.0479484,-1.00692,-1.00692
0.0479484,-1.00692,-1.00692
0.0479484,-1.00692,-1.00692
0.0479484,1.10281,2.15768
-1.00692,0.0479484,-1.00692
-1.00692,0.0479484,0.0479484
2.15768,-1.00692,2.15768
-1.00692,1.10281,1.10281
0.0479484,-1.00692,0.0479484
0.0479484,-1.00692,-1.00692
1.10281,0.0479484,-1.00692
-1.00692,1.10281,0.0479484
0.0479484,0.0479484,-1.00692
0.0479484,-1.00692,1.10281
-1.00692,0.0479484,-1.00692
0.0479484,-1.00692,1.10281
1.10281,0.0479484,-1.00692
0.0479484,0.0479484,-1.00692
0.0479484,-1.00692,1.10281
-1.00692,0.0479484,0.0479484
-1.00692,1.10281,0.0479484
0.0479484,-1.00692,-1.00692
2.15768,-1.00692,-1.00692
0.0479484,-1.00692,1.10281
0.0479484,-1.00692,1.10281
-1.00692,-1.00692,0.0479484
2.15768,1.10281,-1.00692
-1.00692,0.0479484,0.0479484
-1.00692,0.0479484,0.0479484
0.0479484,0.0479484,-1.00692
0.0479484,-1.00692,0.0479484
2.15768,1.10281,0.0479484
0.0479484,0.0479484,-1.00692
0.0479484,-1.00692,0.0479484
0.0479484,-1.00692,1.10281
0.0479484,-1.00692,-1.00692
-1.00692,0.0479484,-1.00692
0.0479484,-1.00692,1.10281
-1.00692,-1.00692,0.0479484
-1.00692,-1.00692,0.0479484
0.0479484,0.0479484,1.10281
1.10281,-1.00692,-1.00692
1.10281,1.10281,-1.00692
0.0479484,-1.00692,0.0479484
0.0479484,-1.00692,0.0479484
-1.00692,0.0479484,-1.00692
-1.00692,-1.00692,0.0479484
-1.00692,1.10281,0.0479484
0.0479484,0.0479484,-1.00692
-1.00692,0.0479484,-1.00692
0.0479484,-1.00692,1.10281
-1.00692,0.0479484,0.0479484
0.0479484,2.15768,0.0479484
0.0479484,-1.00692,0.0479484
-1.00692,0.0479484,2.15768
1.10281,0.0479484,-1.00692
2.15768,2.15768,0.0479484
1.10281,0.0479484,-1.00692
-1.00692,0.0479484,0.0479484
-1.00692,0.0479484,0.0479484
1.10281,0.0479484,2.15768
-1.00692,0.0479484,0.0479484
-1.00692,2.15768,0.0479484
-1.00692,1.10281,0.0479484
-1.00692,1.10281,0.0479484
-1.00692,1.10281,0.0479484
0.0479484,2.15768,2.15768
2.15768,0.0479484,-1.00692
-1.00692,0.0479484,-1.00692
2.15768,-1.00692,0.0479484
0.0479484,-1.00692,-1.00692
-1.00692,0.0479484,-1.00692
0.0479484,2.15768,1.10281
-1.00692,0.0479484,0.0479484
-1.00692,1.10281,0.0479484
0.0479484,-1.00692,1.10281
2.15768,2.15768,-1.00692
1.10281,1.10281,0.0479484
0.0479484,-1.00692,1.10281
1.10281,0.0479484,-1.00692
-1.00692,-1.00692,1.10281
0.0479484,-1.00692,0.0479484
0.0479484,0.0479484,-1.00692
1.10281,0.0479484,1.10281
1.10281,0.0479484,-1.00692
0.0479484,-1.00692,0.0479484
-1.00692,-1.00692,0.0479484
0.0479484,0.0479484,-1.00692
0.0479484,-1.00692,-1.00692
-1.00692,0.0479484,-1.00692
-1.00692,2.15768,2.15768
1.10281,0.0479484,-1.00692
1.10281,0.0479484,-1.00692
-1.00692,1.10281,-1.00692
0.0479484,-1.00692,0.0479484
-1.00692,-1.00692,0.0479484
0.0479484,2.15768,-1.00692
0.0479484,0.0479484,-1.00692
1.10281,0.0479484,-1.00692
0.0479484,-1.00692,2.15768
2.15768,0.0479484,1.10281
0.0479484,-1.00692,-1.00692
0.0479484,-1.00692,-1.00692
0.0479484,1.10281,0.0479484
1.10281,0.0479484,-1.00692
-1.00692,0.0479484,-1.00692
-1.00692,-1.00692,0.0479484
1.10281,-1.00692,2.15768
1.10281,2.15768,-1.00692
0.0479484,1.10281,1.10281
1.10281,0.0479484,0.0479484
1.10281,2.15768,0.0479484
0.0479484,0.0479484,-1.00692
-1.00692,-1.00692,2.15768
-1.00692,0.0479484,0.0479484
0.0479484,0.0479484,2.15768
1.10281,-1.00692,1.10281
-1.00692,-1.00692,0.0479484
2.15768,-1.00692,1.10281
-1.00692,2.15768,1.10281
-1.00692,0.0479484,-1.00692
0.0479484,-1.00692,0.0479484
0.0479484,0.0479484,-1.00692
-1.00692,-1.00692,0.0479484
1,1,2
1,2,1
2,1,1
1,1,3
1,3,1
3,1,1
1,3,3
3,1,3
3,3,1
2,2,1
2,1,2
1,2,2
2,2,3
2,3,2
3,2,2
2,3,3
3,2,3
3,3,2
1,3,2
3,2,1
2,1,3
2,3,1
1,2,3
3,1,2
1,1,1
2,2,2
3,3,3
4,4,4
