Passing_Attempts,Passing_Completions,Passing_Yards,Touchdowns_by_Passing,Interceptions
2429,1546,19869,140,68
5391,3409,40551,273,139
6049,3603,45173,328,185
3942,2397,29527,201,143
2958,1685,22700,153,109
4390,2562,32114,231,165
3153,1817,22771,136,90
4262,2433,32224,255,189
3741,2136,28711,239,183
1580,983,10412,70,53
4475,2654,32838,197,160
3225,1896,22394,120,82
1505,864,10985,54,38
2950,1761,21959,155,132
4291,2440,31874,207,153
2281,1424,16303,82,78
3149,1808,24718,152,138
3602,2110,25094,128,98
6467,3686,47003,342,266
5147,3003,37949,214,185
5604,3297,43040,254,242
1564,910,11142,61,51
3241,1805,22272,147,100
2335,1303,16622,105,78
3817,2193,27613,164,141
2626,1464,23584,174,135
