col_1,col_2,col_3,col_4,col_5
1,508,235,3944,325
2,564,231,4578,323
3,322,270,4011,328
4,846,261,5233,305
5,871,300,4780,303
6,774,317,5889,307
7,856,387,5663,301
8,889,285,5759,310
9,715,300,4894,300
10,753,221,5012,324
11,649,264,4908,329
12,830,308,5753,320
13,738,379,5439,337
14,659,342,4634,328
15,664,378,4921,330
16,572,232,4869,318
17,701,231,4672,309
18,443,246,4782,333
19,446,230,4296,330
20,615,268,4827,318
21,661,337,5057,304
22,772,344,5540,328
23,766,330,5331,323
24,631,261,4715,317
25,390,214,3828,310
26,450,245,4120,321
27,476,233,3817,342
28,603,250,4243,339
29,805,243,4647,287
30,523,216,3967,325
31,588,212,3946,315
32,584,208,3724,332
33,445,215,3448,358
34,500,221,3680,320
35,661,244,3825,355
36,680,234,4189,306
37,797,269,4336,335
38,534,302,4418,335
39,541,268,4323,344
40,605,323,4813,331
41,785,304,5046,324
42,698,317,3764,366
43,796,332,4504,340
44,804,315,4005,378
45,809,291,5560,330
46,726,312,4989,313
47,671,316,4697,305
48,909,332,5438,307
49,484,546,5613,386
50,831,311,5309,333
